STN,LOCATION
036040,Unknown
036050,United Kingdom
036090,United Kingdom
036333,United Kingdom
036440,United Kingdom
036470,United Kingdom
036490,United Kingdom
036580,United Kingdom
036600,United Kingdom
036720,United Kingdom
036733,United Kingdom
036800,United Kingdom
036830,United Kingdom
036840,United Kingdom
036913,United Kingdom
036930,United Kingdom
037070,United Kingdom
037100,United Kingdom
037150,United Kingdom
037160,United Kingdom
037243,United Kingdom
037400,United Kingdom
037430,United Kingdom
037460,United Kingdom
037490,United Kingdom
037610,United Kingdom
037663,United Kingdom
037680,United Kingdom
037683,United Kingdom
037690,United Kingdom
037700,United Kingdom
037720,United Kingdom
037760,United Kingdom
037810,United Kingdom
037960,United Kingdom
037970,United Kingdom
038030,United Kingdom
038060,United Kingdom
038080,United Kingdom
038090,United Kingdom
038230,United Kingdom
038270,United Kingdom
038390,United Kingdom
038400,United Kingdom
038530,United Kingdom
038570,Unknown
038620,United Kingdom
038650,United Kingdom
038660,Unknown
038720,Unknown
038760,United Kingdom
038820,United Kingdom
038873,United Kingdom
038915,Guernsey
038940,Guernsey
038950,Jersey
039010,United Kingdom
039040,United Kingdom
039070,United Kingdom
039084,United Kingdom
039110,United Kingdom
039150,United Kingdom
039160,United Kingdom
039170,United Kingdom
039230,United Kingdom
039240,United Kingdom
039510,Unknown
039520,Unknown
039530,Ireland
039550,Ireland
039560,Ireland
039610,Ireland
039620,Ireland
039630,Unknown
039660,Ireland
039670,Ireland
039690,Ireland
039700,Ireland
039710,Ireland
039730,Ireland
039760,Ireland
039780,Ireland
039790,Ireland
039800,Ireland
040050,Iceland
040130,Unknown
040131,Iceland
040170,Unknown
040180,Iceland
040300,Unknown
040340,Iceland
040380,Unknown
040410,Unknown
040480,Iceland
040630,Unknown
040640,Iceland
040655,Unknown
040690,Iceland
040720,Iceland
040730,Iceland
040770,Iceland
040820,Unknown
040850,Unknown
040890,Iceland
040970,Iceland
041010,Iceland
041040,Iceland
041090,Iceland
041230,Iceland
041240,Unknown
041270,Iceland
041300,Iceland
041310,Unknown
041370,Iceland
041450,Unknown
041460,Iceland
041490,Iceland
041540,Iceland
041560,Iceland
041600,Iceland
041620,Iceland
041650,Unknown
041660,Iceland
041680,Iceland
041700,Unknown
041750,Unknown
041760,Iceland
041830,Unknown
041930,Iceland
041950,Unknown
041960,Iceland
041970,Iceland
042020,Greenland
042021,Unknown
042022,Greenland
042023,Greenland
042030,Unknown
042040,Unknown
042050,Greenland
042080,Unknown
